position	errors	total	rate
0	4438	1738968	0.00255209
1	5025	1738968	0.00288964
2	5254	1738968	0.00302133
3	3523	1738961	0.00202592
4	2267	1738959	0.00130365
5	2164	1738962	0.00124442
6	3412	1738965	0.00196209
7	4156	1738965	0.00238993
8	2872	1738958	0.00165156
9	3605	1738960	0.00207308
10	3390	1738961	0.00194944
11	3954	1738957	0.00227378
12	2718	1738961	0.001563
13	3012	1738961	0.00173207
14	3616	1738958	0.00207941
15	2994	1738958	0.00172172
16	3291	1738957	0.00189251
17	3169	1738960	0.00182235
18	1875	1738963	0.00107823
19	2641	1738922	0.00151876
20	2573	1738898	0.00147967
21	1631	1738876	0.000937962
22	1973	1738866	0.00113465
23	1918	1738865	0.00110302
24	1834	1738855	0.00105472
25	2827	1738854	0.00162578
26	2458	1738843	0.00141358
27	2820	1738832	0.00162178
28	2827	1738821	0.00162581
29	2550	1738822	0.00146651
30	2748	1738813	0.00158039
31	2590	1738798	0.00148953
32	2786	1738801	0.00160225
33	2946	1738792	0.00169428
34	2394	1738784	0.00137682
35	2152	1738773	0.00123765
36	2598	1738770	0.00149416
37	2568	1738761	0.00147691
38	2342	1738756	0.00134694
39	2510	1738747	0.00144357
40	2402	1738739	0.00138146
41	2482	1738735	0.00142747
42	2357	1738728	0.00135559
43	2114	1738720	0.00121584
44	2421	1738701	0.00139242
45	2500	1738685	0.00143787
46	2245	1738679	0.00129121
47	2355	1738666	0.00135449
48	2170	1738658	0.00124809
49	2846	1738644	0.00163691
50	2350	1738636	0.00135163
51	2375	1738613	0.00136603
52	2463	1738600	0.00141666
53	2743	1738595	0.00157771
54	2096	1738578	0.00120558
55	2312	1738566	0.00132983
56	2457	1738555	0.00141324
57	2764	1738551	0.00158983
58	2204	1738527	0.00126774
59	2201	1738510	0.00126603
60	3095	1738493	0.00178028
61	2420	1738465	0.00139203
62	2437	1738452	0.00140182
63	2555	1738436	0.00146971
64	2590	1738429	0.00148985
65	2457	1738398	0.00141337
66	2433	1738381	0.00139958
67	2489	1738354	0.00143181
68	2250	1738334	0.00129434
69	2412	1738308	0.00138756
70	2557	1738284	0.00147099
71	2505	1738255	0.0014411
72	2610	1738222	0.00150153
73	2681	1738193	0.00154241
74	2630	1738171	0.00151308
75	2459	1738139	0.00141473
76	2417	1738121	0.00139058
77	2540	1738075	0.00146139
78	2372	1738036	0.00136476
79	2827	1737966	0.00162661
80	2391	1737923	0.00137578
81	2409	1737895	0.00138616
82	2436	1737857	0.00140173
83	2883	1737820	0.00165898
84	3339	1737790	0.00192141
85	2739	1737741	0.00157618
86	2601	1737705	0.0014968
87	2765	1737670	0.00159121
88	2810	1737620	0.00161715
89	2791	1737569	0.00160627
90	2846	1737521	0.00163797
91	3007	1737476	0.00173067
92	2696	1737419	0.00155173
93	2685	1737379	0.00154543
94	2783	1737321	0.00160189
95	2752	1737268	0.0015841
96	2810	1737208	0.00161754
97	2929	1737147	0.0016861
98	3124	1737076	0.00179842
99	2793	1737005	0.00160794
100	2961	1736911	0.00170475
101	2770	1736821	0.00159487
102	3323	1736740	0.00191335
103	2925	1736650	0.00168428
104	3217	1736580	0.00185249
105	3013	1736487	0.00173511
106	3181	1736394	0.00183196
107	3113	1736296	0.0017929
108	3182	1736212	0.00183273
109	2957	1736119	0.00170322
110	4113	1736009	0.00236923
111	3386	1735908	0.00195056
112	3516	1735784	0.0020256
113	3371	1735672	0.00194219
114	3566	1735583	0.00205464
115	3022	1735489	0.0017413
116	3556	1735392	0.0020491
117	3598	1735285	0.00207343
118	3938	1735161	0.00226953
119	3133	1735027	0.00180574
120	3548	1734879	0.0020451
121	3606	1734720	0.00207872
122	3520	1734580	0.00202931
123	3218	1734458	0.00185533
124	3389	1734308	0.00195409
125	3661	1734167	0.0021111
126	3790	1734011	0.00218568
127	3383	1733859	0.00195114
128	3596	1733719	0.00207415
129	4103	1733580	0.00236678
130	4824	1733393	0.00278298
131	3672	1733208	0.00211861
132	3537	1733024	0.00204094
133	3917	1732847	0.00226044
134	4692	1732673	0.00270795
135	3461	1732464	0.00199773
136	3823	1732238	0.00220697
137	3479	1732008	0.00200865
138	3537	1731761	0.00204243
139	3401	1731563	0.00196412
140	3369	1731173	0.00194608
141	3366	1730820	0.00194474
142	3573	1730454	0.00206478
143	3235	1730087	0.00186985
144	4780	1729828	0.00276328
145	4197	1728944	0.00242749
146	3149	1728314	0.00182201
147	3066	1727767	0.00177454
148	3926	1727329	0.00227287
149	13119	1727290	0.00759513
