position	quality	count
0	12	13
0	13	5
0	14	274
0	15	540
0	16	112566
0	17	1237
0	18	41223
0	19	7
0	20	45
0	21	8
0	24	6
0	25	3
0	26	11
0	27	13
0	28	3
0	29	117221
0	30	20843
0	31	6276
0	32	609738
0	33	513209
0	34	267628
0	35	20803
0	36	1476
0	37	1128
0	38	1099
0	39	1242
0	40	5
1	12	8
1	13	3
1	14	234
1	15	497
1	16	90350
1	17	1312
1	18	22779
1	19	15
1	20	52
1	21	8
1	24	6
1	25	3
1	26	11
1	27	13
1	28	2
1	29	91120
1	30	21490
1	31	9710
1	32	534402
1	33	581176
1	34	330208
1	35	30454
1	36	2385
1	37	1830
1	38	1420
1	39	1327
1	40	3
2	12	5
2	13	4
2	14	244
2	15	468
2	16	94520
2	17	1298
2	18	24867
2	19	14
2	20	62
2	21	6
2	24	5
2	25	2
2	26	13
2	27	8
2	28	3
2	29	73513
2	30	29773
2	31	15428
2	32	513849
2	33	582899
2	34	339467
2	35	35253
2	36	2987
2	37	2338
2	38	1750
2	39	1445
2	40	6
3	12	7
3	13	2
3	14	189
3	15	441
3	16	91631
3	17	1377
3	18	26097
3	19	18
3	20	66
3	21	7
3	24	4
3	25	4
3	26	10
3	27	11
3	28	3
3	29	64638
3	30	28174
3	31	14268
3	32	490763
3	33	596137
3	34	356623
3	35	38750
3	36	3291
3	37	2675
3	38	2006
3	39	1560
3	40	11
4	12	8
4	14	211
4	15	478
4	16	95166
4	17	1437
4	18	22794
4	19	10
4	20	79
4	21	8
4	24	10
4	25	3
4	26	3
4	27	13
4	28	1
4	29	64607
4	30	30709
4	31	15744
4	32	484874
4	33	590711
4	34	360473
4	35	42102
4	36	3806
4	37	2743
4	38	2122
4	39	1679
4	40	7
5	12	5
5	14	172
5	15	496
5	16	47234
5	17	1416
5	18	49903
5	19	5709
5	20	11876
5	21	9
5	24	7
5	25	1
5	26	5
5	27	13
5	28	1
5	29	9834
5	30	4540
5	31	25587
5	32	36005
5	33	129989
5	34	40944
5	35	97955
5	36	522
5	37	1252364
5	38	2082
5	39	1731
5	40	6
6	12	8
6	13	4
6	14	217
6	15	485
6	16	43587
6	17	1641
6	18	45472
6	19	4370
6	20	10074
6	21	8
6	24	3
6	25	3
6	26	7
6	27	13
6	28	2
6	29	9580
6	30	4120
6	31	24055
6	32	36135
6	33	137611
6	34	40419
6	35	95179
6	36	480
6	37	1262211
6	38	2164
6	39	1677
6	40	10
7	12	10
7	13	2
7	14	200
7	15	542
7	16	43070
7	17	1736
7	18	42622
7	19	4783
7	20	9153
7	21	8
7	24	3
7	25	1
7	26	3
7	27	15
7	28	1
7	29	8644
7	30	3653
7	31	22367
7	32	35939
7	33	121656
7	34	40341
7	35	93585
7	36	531
7	37	1286363
7	38	2365
7	39	1713
7	40	6
8	12	6
8	13	3
8	14	235
8	15	953
8	16	43230
8	17	1921
8	18	44218
8	19	4310
