position	quality	count
0	16	16613
0	18	880
0	29	729
0	30	58
0	31	15
0	32	1420
0	33	903
0	34	281
0	35	12
0	36	1
1	16	14684
1	18	498
1	29	398
1	30	49
1	31	10
1	32	301
1	33	152
1	34	50
1	35	2
2	0	1
2	16	18712
2	18	2412
2	29	1843
2	30	265
2	31	63
2	32	1767
2	33	263
2	34	53
3	16	12394
3	18	281
3	29	280
3	30	41
3	31	13
3	32	236
3	33	144
3	34	54
3	35	2
4	16	14138
4	18	335
4	29	283
4	30	46
4	31	7
4	32	218
4	33	148
4	34	49
5	0	1
5	12	13
5	13	21
5	14	196
5	15	382
5	16	11664
5	17	1039
5	18	10009
5	19	246
5	20	325
5	24	4
5	25	3
5	26	1
5	27	15
5	28	1
5	29	98
5	30	17
5	31	290
5	32	112
5	33	294
5	34	26
5	35	90
5	36	9
5	37	277
5	38	8
5	39	9
6	0	1
6	12	10
6	13	17
6	14	180
6	15	403
6	16	11882
6	17	1012
6	18	9845
6	19	238
6	20	295
6	24	3
6	25	5
6	26	2
6	27	12
6	28	2
6	29	145
6	30	16
6	31	286
6	32	94
6	33	325
6	34	33
6	35	125
6	36	3
6	37	287
6	38	6
6	39	6
7	12	16
7	13	14
7	14	189
7	15	405
7	16	11434
7	17	1015
7	18	10219
7	19	200
7	20	289
7	24	3
7	25	3
7	26	3
7	27	14
7	28	4
7	29	100
7	30	25
7	31	270
7	32	108
7	33	346
7	34	29
7	35	108
7	36	8
7	37	269
7	38	6
7	39	3
8	0	2
8	12	20
8	13	17
8	14	192
8	15	472
8	16	10508
8	17	1041
8	18	9312
8	19	157
8	20	217
8	24	1
8	25	5
8	26	2
8	27	16
8	28	4
8	29	118
8	30	17
8	31	246
8	32	104
8	33	300
8	34	22
8	35	119
8	36	11
8	37	213
8	38	9
8	39	7
9	12	16
9	13	14
9	14	214
9	15	502
9	16	9822
9	17	969
9	18	8607
9	19	159
9	20	243
9	21	1
9	24	5
9	25	3
9	26	1
9	27	18
