position	quality	count
0	14	18
0	21	3
0	32	24
1	14	7
1	32	3
2	14	8
2	21	3
2	32	2
3	14	3
3	21	1
3	32	2
4	14	1
4	21	4
5	14	3
5	21	3
5	36	3
6	14	2
6	21	3
6	36	3
7	14	4
7	21	6
7	36	1
8	14	2
8	21	3
8	36	1
9	14	1
9	21	1
9	32	2
10	14	3
10	21	1
10	36	3
11	14	4
11	21	2
11	36	2
12	14	4
12	21	1
12	32	1
12	36	1
13	14	2
13	21	2
13	36	2
14	14	3
14	21	2
15	14	4
15	21	2
15	36	1
16	14	1
16	21	3
16	36	2
17	14	5
17	21	3
17	36	2
18	14	5
18	21	3
19	14	5
19	32	1
19	36	1
20	14	3
20	21	3
20	32	1
21	14	3
21	21	3
21	36	1
22	14	6
22	21	3
22	36	3
23	14	4
23	21	1
23	32	1
24	14	8
24	21	5
24	32	1
24	36	2
25	14	11
25	21	1
25	36	1
26	14	6
26	21	2
26	36	1
27	14	11
27	36	3
28	14	11
29	14	7
29	21	3
30	14	8
30	36	2
31	14	6
31	21	5
31	36	1
32	14	8
32	21	2
32	36	2
33	14	9
33	21	1
33	36	1
34	14	6
34	21	2
34	36	1
35	14	13
35	21	3
36	14	9
36	21	2
36	32	1
36	36	2
37	14	7
37	36	1
38	14	9
38	21	3
38	36	4
39	14	9
39	21	1
39	36	1
40	14	12
40	36	1
41	14	13
41	21	3
41	32	1
42	14	17
43	14	10
43	21	2
44	14	6
44	21	2
44	36	2
45	14	19
45	21	1
45	36	1
46	14	9
46	21	3
46	32	1
47	14	13
47	27	1
47	36	2
48	14	13
48	21	1
48	36	3
49	14	15
50	14	8
50	36	3
51	14	16
51	36	2
52	14	18
52	21	2
52	32	1
52	36	1
53	14	18
53	21	1
53	36	1
54	14	9
54	21	1
54	36	1
55	14	14
55	21	3
56	14	14
56	36	1
57	14	19
57	21	1
57	36	1
58	14	9
58	21	1
58	36	1
59	14	14
59	21	1
59	27	1
60	14	25
61	14	22
61	36	2
62	14	21
62	21	2
62	36	2
63	14	20
63	21	1
63	36	2
64	14	13
64	21	1
65	14	18
65	21	2
65	36	3
66	14	17
66	36	2
67	14	17
67	32	1
67	36	1
68	14	24
69	14	14
69	36	1
70	14	18
70	36	1
71	14	15
71	36	2
72	14	12
72	21	2
72	32	1
72	36	1
73	14	15
73	21	1
73	36	1
74	14	19
74	21	2
75	14	19
75	21	1
75	36	1
76	14	24
76	32	1
76	36	1
77	14	19
77	36	1
78	14	13
79	14	20
79	27	1
79	36	2
80	14	20
81	14	15
81	36	2
82	14	16
83	14	15
83	21	1
83	36	1
84	14	22
84	36	1
85	14	14
85	21	1
85	36	2
86	14	19
86	21	1
86	36	2
87	14	26
87	32	1
87	36	2
88	14	22
88	36	3
89	14	19
89	27	1
89	36	1
90	14	23
90	27	1
91	14	16
92	14	24
92	27	1
92	36	1
93	14	22
93	36	1
94	14	24
94	36	2
95	14	21
95	32	1
96	14	20
96	36	3
97	14	16
97	32	1
97	36	1
98	14	12
99	14	20
99	32	1
100	14	19
100	32	1
101	14	17
101	27	1
101	32	2
102	14	23
102	36	1
103	14	25
103	32	1
103	36	2
104	14	19
104	36	3
105	14	24
105	21	1
106	14	17
106	36	2
107	14	21
107	32	1
108	14	27
108	32	1
108	36	1
109	14	22
110	14	14
110	36	2
111	14	23
111	36	1
112	14	22
113	14	27
114	14	25
114	32	1
114	36	2
115	14	35
116	14	26
116	36	1
117	14	29
117	36	3
118	14	24
118	27	1
119	14	21
119	27	2
119	36	1
120	14	25
121	14	25
122	14	23
122	32	2
122	36	1
123	14	26
123	36	1
124	14	23
124	21	1
124	36	2
125	14	14
125	27	1
125	36	1
126	14	28
126	21	1
127	14	26
127	27	1
127	36	2
128	14	23
129	14	19
130	14	20
130	32	1
130	36	1
131	14	29
131	36	1
132	14	24
132	21	1
132	32	1
132	36	1
133	14	23
134	14	21
134	36	1
135	14	23
135	21	1
135	32	2
135	36	3
136	14	20
136	27	1
137	14	28
137	27	1
137	32	1
138	14	23
138	27	1
139	14	22
139	27	4
139	32	1
140	14	22
141	14	17
142	14	25
142	32	1
142	36	1
143	14	27
143	27	1
143	32	1
143	36	1
144	14	18
144	32	1
145	14	20
145	32	1
145	36	1
146	14	15
147	14	19
147	36	1
148	14	23
149	14	17
149	32	1
150	14	182
150	21	6
150	27	15
150	32	7
150	36	5
