position	errors	total	rate
0	20	7584	0.00263713
1	17	7584	0.00224156
2	17	7584	0.00224156
3	15	7584	0.00197785
4	18	7584	0.00237342
5	27	7584	0.00356013
6	21	7584	0.00276899
7	16	7584	0.0021097
8	22	7584	0.00290084
9	20	7584	0.00263713
10	30	7584	0.0039557
11	27	7584	0.00356013
12	14	7584	0.00184599
13	22	7584	0.00290084
14	19	7584	0.00250527
15	23	7584	0.0030327
16	29	7584	0.00382384
17	15	7584	0.00197785
18	24	7584	0.00316456
19	23	7580	0.0030343
20	11	7579	0.00145138
21	22	7578	0.00290314
22	28	7577	0.00369539
23	18	7577	0.00237561
24	23	7577	0.0030355
25	26	7577	0.00343144
26	21	7577	0.00277155
27	19	7577	0.00250759
28	24	7576	0.0031679
29	22	7575	0.00290429
30	19	7576	0.00250792
31	22	7576	0.00290391
32	17	7576	0.00224393
33	31	7576	0.00409187
34	22	7576	0.00290391
35	24	7575	0.00316832
36	16	7575	0.00211221
37	23	7575	0.0030363
38	19	7574	0.00250858
39	29	7573	0.00382939
40	21	7572	0.00277338
41	23	7568	0.00303911
42	30	7564	0.00396616
43	24	7563	0.00317334
44	19	7560	0.00251323
45	28	7555	0.00370615
46	25	7547	0.00331257
47	22	7542	0.002917
48	18	7539	0.00238758
49	27	7537	0.00358233
50	25	7535	0.00331785
51	24	7527	0.00318852
52	20	7522	0.00265887
53	31	7517	0.00412399
54	26	7509	0.00346251
55	15	7498	0.00200053
56	23	7487	0.00307199
57	20	7477	0.00267487
58	20	7474	0.00267594
59	22	7469	0.00294551
60	27	7460	0.0036193
61	33	7456	0.00442597
62	40	7447	0.00537129
63	30	7434	0.00403551
64	37	7423	0.00498451
65	20	7414	0.0026976
66	30	7402	0.00405296
67	36	7391	0.00487079
68	30	7378	0.00406614
69	31	7363	0.00421024
70	34	7351	0.00462522
71	24	7338	0.00327065
72	24	7324	0.0032769
73	25	7304	0.00342278
74	36	7290	0.00493827
75	26	7267	0.00357782
76	30	7252	0.00413679
77	25	7233	0.00345638
78	33	7216	0.00457317
79	35	7202	0.00485976
80	39	7185	0.00542797
81	23	7164	0.0032105
82	29	7142	0.00406049
83	29	7119	0.00407361
84	26	7095	0.00366455
85	31	7065	0.00438783
86	26	7044	0.00369108
87	31	7026	0.00441218
88	37	6999	0.00528647
89	32	6979	0.00458518
90	30	6954	0.00431406
91	33	6928	0.00476328
92	33	6906	0.00477845
93	29	6887	0.00421083
94	30	6852	0.00437828
95	29	6822	0.00425095
96	31	6793	0.00456352
97	32	6773	0.00472464
98	29	6748	0.00429757
99	27	6724	0.00401547
100	36	6696	0.00537634
101	36	6665	0.00540135
102	26	6636	0.00391802
103	30	6607	0.00454064
104	30	6574	0.00456343
105	37	6553	0.00564627
106	31	6531	0.00474659
107	24	6507	0.00368834
108	36	6477	0.00555813
109	31	6441	0.00481292
110	25	6397	0.00390808
111	39	6367	0.00612533
112	22	6332	0.00347442
113	35	6299	0.00555644
114	36	6271	0.00574071
115	28	6235	0.00449078
116	31	6203	0.00499758
117	21	6169	0.00340412
118	32	6137	0.00521427
119	34	6104	0.00557012
120	26	6070	0.00428336
121	34	6033	0.00563567
122	26	6004	0.00433045
123	32	5967	0.00536283
124	29	5933	0.00488792
125	30	5907	0.00507872
126	29	5880	0.00493197
127	35	5852	0.00598086
128	32	5820	0.00549828
129	29	5784	0.00501383
130	37	5751	0.00643366
131	28	5714	0.00490025
132	34	5690	0.0059754
133	36	5653	0.0063683
134	38	5608	0.00677603
135	33	5568	0.00592672
136	25	5537	0.00451508
137	26	5509	0.00471955
138	29	5467	0.00530455
139	30	5440	0.00551471
140	26	5402	0.00481303
141	27	5359	0.00503825
142	27	5324	0.00507137
143	26	5287	0.00491772
144	29	5251	0.00552276
145	27	5211	0.00518135
146	32	5170	0.00618956
147	22	5124	0.00429352
148	26	5074	0.00512416
149	20	5035	0.00397219
150	232	4998	0.0464186
