position	quality	count
0	14	268
0	21	233
0	27	18
0	32	6993
0	36	52
1	14	441
1	21	114
1	27	6
1	32	6952
1	36	54
2	14	428
2	21	139
2	27	11
2	32	6940
2	36	49
3	14	409
3	21	172
3	27	4
3	32	6930
3	36	54
4	14	402
4	21	183
4	27	14
4	32	6911
4	36	56
5	14	462
5	21	168
5	27	14
5	32	409
5	36	6504
6	14	381
6	21	181
6	27	29
6	32	404
6	36	6568
7	14	421
7	21	172
7	27	22
7	32	445
7	36	6508
8	14	373
8	21	182
8	27	30
8	32	416
8	36	6561
9	14	465
9	21	155
9	27	35
9	32	452
9	36	6457
10	14	448
10	21	160
10	27	31
10	32	453
10	36	6462
11	14	415
11	21	146
11	27	24
11	32	440
11	36	6532
12	14	442
12	21	149
12	27	33
12	32	408
12	36	6538
13	14	442
13	21	143
13	27	29
13	32	395
13	36	6553
14	14	493
14	21	143
14	27	30
14	32	411
14	36	6488
15	14	467
15	21	113
15	27	22
15	32	405
15	36	6554
16	14	520
16	21	115
16	27	35
16	32	412
16	36	6473
17	14	463
17	21	123
17	27	30
17	32	425
17	36	6528
18	14	478
18	21	93
18	27	29
18	32	375
18	36	6585
19	14	478
19	21	131
19	27	29
19	32	434
19	36	6485
20	14	481
20	21	123
20	27	35
20	32	411
20	36	6518
21	14	519
21	21	114
21	27	35
21	32	415
21	36	6473
22	14	493
22	21	111
22	27	36
22	32	428
22	36	6481
23	14	480
23	21	118
23	27	51
23	32	432
23	36	6478
24	14	501
24	21	111
24	27	38
24	32	399
24	36	6505
25	14	502
25	21	104
25	27	44
25	32	404
25	36	6497
26	14	501
26	21	105
26	27	50
26	32	435
26	36	6465
27	14	486
27	21	121
27	27	67
27	32	396
27	36	6488
28	14	517
28	21	131
28	27	49
28	32	417
28	36	6438
29	14	537
29	21	124
29	27	61
29	32	426
29	36	6405
30	14	534
30	21	108
30	27	60
30	32	447
30	36	6408
31	14	530
31	21	108
31	27	75
31	32	434
31	36	6407
32	14	555
32	21	112
32	27	67
32	32	467
32	36	6358
33	14	568
33	21	97
33	27	60
33	32	522
33	36	6298
34	14	535
34	21	108
34	27	77
34	32	495
34	36	6339
35	14	566
35	21	115
35	27	88
35	32	581
35	36	6201
36	14	522
36	21	91
36	27	76
36	32	593
36	36	6277
37	14	556
37	21	99
37	27	80
37	32	557
37	36	6260
38	14	576
38	21	116
38	27	98
38	32	550
38	36	6215
39	14	595
39	21	95
39	27	87
39	32	624
39	36	6143
40	14	587
40	21	78
40	27	93
40	32	653
40	36	6140
41	14	605
41	21	100
41	27	116
41	32	639
41	36	6085
42	14	562
42	21	98
42	27	122
42	32	658
42	36	6094
43	14	594
43	21	102
43	27	142
43	32	623
43	36	6078
44	14	592
44	21	117
44	27	133
44	32	685
44	36	6014
45	14	644
45	21	88
45	27	149
45	32	688
45	36	5958
46	14	594
46	21	104
46	27	171
46	32	686
46	36	5967
47	14	585
47	21	96
47	27	190
47	32	706
47	36	5943
48	14	581
48	21	96
48	27	187
48	32	675
48	36	5982
49	14	635
49	21	84
49	27	188
49	32	664
49	36	5939
50	14	637
50	21	87
50	27	154
50	32	757
50	36	5875
51	14	598
51	21	84
51	27	168
51	32	751
51	36	5902
52	14	641
52	21	99
52	27	186
52	32	701
52	36	5875
53	14	663
53	21	60
53	27	185
53	32	693
53	36	5885
54	14	658
54	21	83
54	27	195
54	32	704
54	36	5843
55	14	670
55	21	54
55	27	183
55	32	676
55	36	5900
56	14	680
56	21	62
56	27	178
56	32	717
56	36	5827
57	14	670
57	21	64
57	27	192
57	32	745
57	36	5786
58	14	645
58	21	52
58	27	218
58	32	731
58	36	5808
59	14	661
59	21	61
59	27	205
59	32	711
59	36	5809
60	14	683
60	21	42
60	27	207
60	32	749
60	36	5752
61	14	722
61	21	44
61	27	203
61	32	779
61	36	5675
62	14	666
62	21	49
62	27	203
62	32	737
62	36	5752
63	14	686
63	21	62
63	27	221
63	32	797
63	36	5638
64	14	676
64	21	45
64	27	213
64	32	823
64	36	5629
65	14	675
65	21	48
65	27	217
65	32	802
65	36	5652
66	14	699
66	21	51
66	27	217
66	32	786
66	36	5619
67	14	698
67	21	61
67	27	209
67	32	813
67	36	5574
68	14	706
68	21	49
68	27	228
68	32	813
68	36	5552
69	14	670
69	21	43
69	27	234
69	32	793
69	36	5592
70	14	650
70	21	56
70	27	213
70	32	785
70	36	5613
71	14	707
71	21	51
71	27	213
71	32	823
71	36	5520
72	14	725
72	21	56
72	27	247
72	32	775
72	36	5497
73	14	692
73	21	57
73	27	266
73	32	814
73	36	5450
74	14	729
74	21	44
74	27	284
74	32	821
74	36	5376
75	14	711
75	21	50
75	27	294
75	32	802
75	36	5384
76	14	721
76	21	55
76	27	311
76	32	747
76	36	5388
77	14	697
77	21	47
77	27	371
77	32	783
77	36	5310
78	14	724
78	21	49
78	27	346
78	32	744
78	36	5320
79	14	695
79	21	42
79	27	370
79	32	792
79	36	5268
80	14	706
80	21	35
80	27	358
80	32	772
80	36	5275
81	14	734
81	21	31
81	27	351
81	32	761
81	36	5264
82	14	699
82	21	34
82	27	394
82	32	834
82	36	5152
83	14	707
83	21	34
83	27	455
83	32	914
83	36	4980
84	14	744
84	21	35
84	27	465
84	32	867
84	36	4958
85	14	707
85	21	31
85	27	414
85	32	902
85	36	4980
86	14	807
86	21	34
86	27	456
86	32	950
86	36	4771
87	14	727
87	21	29
87	27	480
87	32	986
87	36	4773
88	14	756
88	21	28
88	27	535
88	32	977
88	36	4666
89	14	751
89	21	26
89	27	539
89	32	928
89	36	4703
90	14	816
90	21	31
90	27	549
90	32	1036
90	36	4492
91	14	707
91	21	32
91	27	546
91	32	1077
91	36	4533
92	14	795
92	21	36
92	27	572
92	32	1086
92	36	4384
93	14	846
93	21	43
93	27	540
93	32	1091
93	36	4338
94	14	707
94	21	49
94	27	597
94	32	1170
94	36	4299
95	14	769
95	21	74
95	27	517
95	32	1191
95	36	4242
96	14	760
96	21	62
96	27	598
96	32	1191
96	36	4151
97	14	765
97	21	78
97	27	552
97	32	1211
97	36	4135
98	14	759
98	21	86
98	27	574
98	32	1381
98	36	3919
99	14	778
99	21	96
99	27	571
99	32	1359
99	36	3893
100	14	765
100	21	105
100	27	551
100	32	1418
100	36	3821
101	14	786
101	21	113
101	27	575
101	32	1424
101	36	3731
102	14	771
102	21	114
102	27	539
102	32	1433
102	36	3753
103	14	815
103	21	106
103	27	541
103	32	1395
103	36	3720
104	14	711
104	21	96
104	27	582
104	32	1471
104	36	3684
105	14	741
105	21	98
105	27	538
105	32	1415
105	36	3724
106	14	771
106	21	118
106	27	554
106	32	1393
106	36	3664
107	14	859
107	21	118
107	27	518
107	32	1409
107	36	3579
108	14	753
108	21	113
108	27	506
108	32	1419
108	36	3650
109	14	734
109	21	104
109	27	469
109	32	1429
109	36	3674
110	14	788
110	21	95
110	27	475
110	32	1407
110	36	3607
111	14	772
111	21	89
111	27	509
111	32	1338
111	36	3620
112	14	773
112	21	78
112	27	485
112	32	1348
112	36	3626
113	14	783
113	21	76
113	27	468
113	32	1347
113	36	3590
114	14	733
114	21	105
114	27	494
114	32	1278
114	36	3625
115	14	741
115	21	82
115	27	473
115	32	1303
115	36	3608
116	14	744
116	21	92
116	27	466
116	32	1304
116	36	3566
117	14	787
117	21	107
117	27	472
117	32	1299
117	36	3483
118	14	765
118	21	100
118	27	482
118	32	1271
118	36	3487
119	14	779
119	21	88
119	27	476
119	32	1287
119	36	3440
120	14	813
120	21	71
120	27	439
120	32	1336
120	36	3385
121	14	764
121	21	80
121	27	457
121	32	1236
121	36	3462
122	14	786
122	21	88
122	27	469
122	32	1247
122	36	3388
123	14	773
123	21	87
123	27	446
123	32	1252
123	36	3377
124	14	757
124	21	78
124	27	445
124	32	1169
124	36	3455
125	14	781
125	21	74
125	27	472
125	32	1189
125	36	3361
126	14	744
126	21	88
126	27	462
126	32	1199
126	36	3358
127	14	762
127	21	81
127	27	450
127	32	1159
127	36	3365
128	14	774
128	21	62
128	27	432
128	32	1181
128	36	3339
129	14	770
129	21	80
129	27	428
129	32	1218
129	36	3259
130	14	743
130	21	86
130	27	464
130	32	1151
130	36	3270
131	14	749
131	21	96
131	27	408
131	32	1214
131	36	3219
132	14	750
132	21	86
132	27	407
132	32	1154
132	36	3259
133	14	743
133	21	72
133	27	450
133	32	1194
133	36	3158
134	14	747
134	21	85
134	27	415
134	32	1106
134	36	3217
135	14	760
135	21	73
135	27	471
135	32	1143
135	36	3088
136	14	772
136	21	81
136	27	424
136	32	1110
136	36	3125
137	14	751
137	21	86
137	27	400
137	32	1163
137	36	3083
138	14	755
138	21	88
138	27	427
138	32	1147
138	36	3021
139	14	778
139	21	60
139	27	416
139	32	1119
139	36	3037
140	14	756
140	21	74
140	27	393
140	32	1133
140	36	3020
141	14	776
141	21	69
141	27	426
141	32	1060
141	36	3001
142	14	733
142	21	73
142	27	419
142	32	1139
142	36	2933
143	14	737
143	21	73
143	27	397
143	32	1152
143	36	2902
144	14	750
144	21	82
144	27	365
144	32	1187
144	36	2838
145	14	714
145	21	79
145	27	422
145	32	1120
145	36	2849
146	14	761
146	21	78
146	27	410
146	32	1115
146	36	2774
147	14	725
147	21	71
147	27	410
147	32	1102
147	36	2794
148	14	762
148	21	88
148	27	372
148	32	1103
148	36	2723
149	14	732
149	21	86
149	27	417
149	32	1085
149	36	2695
150	14	1572
150	21	229
150	27	732
150	32	1221
150	36	1012
